SMILES_c,t_half_ms,SMILES_o,
CC12SC(C3=CC=CC=C3)=CC1=C4C(C(F)=C(F)C(F)=C4F)=C5C(C)2SC(C6=CC=CC=C6)=C5,1.30E+02,CC1=C(C2=C(C3=C(C)SC(C4=CC=CC=C4)=C3)C(F)=C(F)C(F)=C2F)C=C(S1)C5=CC=CC=C5,
CC12SC(C3=CC=CC=C3)=NC1=C4C(C(F)=C(F)C(F)=C4F)=C5C(C)2SC(C6=CC=CC=C6)=N5,1.60E+03,CC1=C(C2=C(C3=C(C)SC(C4=CC=CC=C4)=N3)C(F)=C(F)C(F)=C2F)N=C(S1)C5=CC=CC=C5,
CC12OC(C3=CC=CC=C3)=NC1=C4C(C(F)=C(F)C(F)=C4F)=C5C(C)2OC(C6=CC=CC=C6)=N5,5.80E+05,CC1=C(C2=C(C3=C(C)OC(C4=CC=CC=C4)=N3)C(F)=C(F)C(F)=C2F)N=C(O1)C5=CC=CC=C5,
CC12SC(C3=CC=CC=C3)=NC1=C4C(C([H])=C(F)C(F)=C4[H])=C5C(C)2SC(C6=CC=CC=C6)=N5,2.80E+05,CC1=C(C2=C(C3=C(C)SC(C4=CC=CC=C4)=N3)C([H])=C(F)C(F)=C2[H])N=C(S1)C5=CC=CC=C5,
C12=C3C=CSC3C(SC=C4)C4=C1C=CC=C2,6.20E+01,C1(C2=CSC=C2)=CC=CC=C1C3=CSC=C3,备注：oB97X-D
CC(SC12C)=CC1=C3C=CC=CC3=C4C2(C)SC(C)=C4,4.70E+02,CC1=C(C=C(C)S1)C2=CC=CC=C2C3=C(C)SC(C)=C3,备注：oB97X-D
CC(SC12C)=CC1=C3N=CC=NC3=C4C2(C)SC(C)=C4,6.90E+04,CC1=C(C=C(C)S1)C2=NC=CN=C2C3=C(C)SC(C)=C3,
C[C@]12SC(C3=CC=CC=C3)=CC1=C4C(F)=C(F)C(F)=C(F)C4=C5[C@@]2(SC(C6=CC=CC=C6)=C5)C,1.30E+02,CC1=C(C2=C(F)C(F)=C(F)C(F)=C2C3=C(SC(C4=CC=CC=C4)=C3)C)C=C(S1)C5=CC=CC=C5,
CC12SC(C3=CC=CC=C3)=C(C)C1=C4SC(C5=CC=CC=C5)=NC4=C6C2(C)SC(C7=CC=CC=C7)=C6C,1.10E+09,CC1=C(C(C)=C(C2=CC=CC=C2)S1)C3=C(C4=C(C)SC(C5=CC=CC=C5)=C4C)N=C(C6=CC=CC=C6)S3,
CC1=C(C2=CC=CC=C2)SC3(C4=CC=CC=C4)C1=C5C(SC(C6=CC=CC=C6)=N5)=C7C(C)=C(C8=CC=CC=C8)SC73C9=CC=CC=C9,5.80E+04,CC1=C(C2=CC=CC=C2)SC(C3=CC=CC=C3)=C1C4=C(C5=C(C6=CC=CC=C6)SC(C7=CC=CC=C7)=C5C)SC(C8=CC=CC=C8)=N4,
C12=C3N=C(C4=CC=CC=C4)SC3(C5=CC=CC=C5)C(SC(C6=CC=CC=C6)=N7)(C8=CC=CC=C8)C7=C1N=C(C9=CC=CC=C9)S2,1.40E+05,C1(C2=C(C3=CC=CC=C3)SC(C4=CC=CC=C4)=N2)=C(C5=C(C6=CC=CC=C6)SC(C7=CC=CC=C7)=N5)N=C(C8=CC=CC=C8)S1,
CC12SC(C3=CC=CC=C3)=NC1=C4SC(C5=CC=CC=C5)=NC4=C6N=C(C7=CC=CC=C7)SC62C,1.20E+06,CC(SC(C1=CC=CC=C1)=N2)=C2C3=C(C4=C(C)SC(C5=CC=CC=C5)=N4)SC(C6=CC=CC=C6)=N3,
C12=C3C=CSC3C(SC=C4)C4=C1C=C2,3.30E+12,C1(C2=CSC=C2)=C(C3=CSC=C3)C=C1,
C12=C3C=CSC3C(SC=C4)C4=C1C(C=CC5)=C5C=C2,5.50E+00,C1(C2=CSC=C2)=C(C(C=CC3)=C3C=C1)C4=CSC=C4,备注：oB97X-D
C12=C3C=CSC3C(SC=C4)C4=C1C(C=CN5)=C5C=C2,4.00E+04,C1(C2=CSC=C2)=C(C(C=CN3)=C3C=C1)C4=CSC=C4,备注：oB97X-D
C12=C3C=CSC3C(SC=C4)C4=C1C5=CNC=C5C=C2,7.20E+09,C1(C2=CSC=C2)=C(C3=CNC=C3C=C1)C4=CSC=C4,
CC12SC(C3=CC=C(OC)C=C3)=CC1=C4C(C5=NSN=C5C=C4)=C6C2(C)SC(C7=CC=C(OC)C=C7)=C6,4.60E+07,CC1=C(C=C(C2=CC=C(OC)C=C2)S1)C3=C(C4=NSN=C4C=C3)C5=C(C)SC(C6=CC=C(OC)C=C6)=C5,
CC12SC(C3=CC=CC=C3)=NC1=C4SC5=C(C=CC=C5)C4=C6C(C)2SC(C7=CC=CC=C7)=N6,2.40E+12,CC1=C(N=C(C2=CC=CC=C2)S1)C3=C(C4=C(C)SC(C5=CC=CC=C5)=N4)C(C=CC=C6)=C6S3,
C1(SC2=C(C=CC=C2)C1=C3C(C4=CC=CC=C4)5SC(C6=CC=CC=C6)=N3)=C7N=C(C8=CC=CC=C8)SC75C9=CC=CC=C9,1.80E+09,C1(C2=C(C3=CC=CC=C3)SC(C4=CC=CC=C4)=N2)=C(C5=C(C6=CC=CC=C6)SC(C7=CC=CC=C7)=N5)C(C=CC=C8)=C8S1,
CC12SC(C)=CC1=C3C=C4C(C5=CC=CC=C54)=CC3=C6C(C)2SC(C)=C6,2.70E+08,CC1=C(C=C(C)S1)C2=C(C3=C(C)SC(C)=C3)C=C(C4=CC=CC=C45)C5=C2,备注：B3LYP
